facility_id,organisation_name,facility_name,province,city,address,postal_code,npri_id,2011_ghg_emissions_kilotonnes_of_carbon_dioxide_equivalent,facility_ghg_data_link,naics_name,naics_data_link,latitude,longitude
161,City of Toronto,Keele Valley Landfill,Ontario,Maple,McNaughton Road,L6A1S5,7371,410.26,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10161,Waste Treatment and Disposal,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210,43.86830000,-79.49840000
163,TransCanada PipeLines Ltd.,"TransCanada Pipeline, Ontario",Ontario,Kenora,1644 Veterans Drive,P9N0C1,,726.42,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10163,Pipeline Transportation of Natural Gas,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=486210,0.00000000,0.00000000
165,Northland Power Inc.,Kirkland Lake Generating Station,Ontario,Kirkland Lake,505 Archer's Drive,P2N3M7,1770,317.55,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10165,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,48.13470000,-80.04250000
171,Lafarge Canada Inc.,Bath Cement Plant,Ontario,Bath,6501 33 Highway,K0H1G0,5850,705.40,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10171,Cement Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310,44.16640000,-76.80260000
175,Ontario Power Generation Inc.,Lambton Generating Station,Ontario,Courtright,1886 St. Clair Parkway,N0N1H0,1809,1265.65,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10175,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,42.79610000,-82.46970000
177,Ontario Power Generation Inc.,Lennox Generating Station,Ontario,Greater Napanee,0 7263 33 Highway West,K0H1G0,1812,103.65,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10177,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,44.14390000,-76.84920000
190,TransAlta Generation Partnership,Mississauga Cogeneration Plant,Ontario,Mississauga,2740 Derry Road East,L4T4J5,4873,332.64,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10190,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,43.70160000,-79.64330000
191,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Ontario,Mississauga,385 Southdown Road,L5J2Y3,3899,393.96,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10191,Other Petroleum and Coal Product Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=324190,43.50120000,-79.61010000
192,Holcim (Canada) inc.,Mississauga Cement Plant,Ontario,Mississauga,2391 Lakeshore Road,L5J1K1,2182,975.18,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10192,Cement Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310,43.49720000,-79.62770000
193,The Corporation of the City of Brantford,Mohawk Street Landfill,Ontario,Brantford,20 Morrison Road,N3T2M3,10433,59.91,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10193,Waste Treatment and Disposal,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210,43.12620000,-80.22850000
198,Ontario Power Generation Inc.,Nanticoke Generating Station,Ontario,Nanticoke,34 Haldimand Rd 55 Road South,N0A1L0,1861,2836.30,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10198,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,42.79610000,-80.05000000
